Method, Number of uses
org/apache/sysds/runtime/privacy/finegrained/FineGrainedPrivacy.put, 11
org/apache/sysds/runtime/iogen/FastStringTokenizer.<init>, 6
org/apache/sysds/runtime/iogen/FastStringTokenizer.reset, 9
org/apache/sysds/runtime/iogen/FastStringTokenizer.nextInt, 6
org/apache/sysds/hops/rewrite/HopRewriteRule.<init>, 16
org/apache/sysds/hops/Hop.resetVisitStatus, 28
org/apache/sysds/conf/DMLConfig.getBooleanValue, 13
org/apache/sysds/hops/rewrite/HopRewriteUtils.isDimsKnown, 8
org/apache/sysds/hops/LiteralOp.<init>, 64
org/apache/sysds/hops/rewrite/HopRewriteUtils.replaceChildReference, 78
org/apache/sysds/hops/rewrite/HopRewriteUtils.cleanupUnreferenced, 39
org/apache/sysds/hops/Hop.getBeginLine, 50
org/apache/sysds/hops/rewrite/HopRewriteUtils.createDataGenOp, 5
org/apache/sysds/hops/rewrite/HopRewriteUtils.isEqualSize, 22
org/apache/sysds/hops/rewrite/HopRewriteUtils.getDoubleValueSafe, 19
org/apache/sysds/hops/rewrite/HopRewriteUtils.createBinary, 41
org/apache/sysds/hops/UnaryOp.isCumulativeUnaryOperation, 5
org/apache/sysds/hops/UnaryOp.getOp, 38
org/apache/sysds/hops/BinaryOp.getOp, 65
org/apache/sysds/hops/rewrite/HopRewriteUtils.isMatrixMultiply, 27
org/apache/sysds/hops/rewrite/HopRewriteUtils.isTernary, 8
org/apache/sysds/hops/LiteralOp.getBooleanValue, 12
org/apache/sysds/hops/rewrite/HopRewriteUtils.isTransposeOperation, 44
org/apache/sysds/hops/rewrite/HopRewriteUtils.isNary, 12
org/apache/sysds/hops/rewrite/HopRewriteUtils.createNary, 10
org/apache/sysds/hops/rewrite/HopRewriteUtils.createTranspose, 28
org/apache/sysds/hops/rewrite/HopRewriteUtils.createMatrixMultiply, 19
org/apache/sysds/hops/rewrite/HopRewriteUtils.isBinary, 47
org/apache/sysds/hops/rewrite/HopRewriteUtils.removeAllChildReferences, 19
org/apache/sysds/hops/DataGenOp.getOp, 16
org/apache/sysds/hops/rewrite/HopRewriteUtils.getChildReferencePos, 9
org/apache/sysds/hops/rewrite/HopRewriteUtils.removeChildReferenceByPos, 13
org/apache/sysds/hops/rewrite/HopRewriteUtils.addChildReference, 19
org/apache/sysds/hops/AggUnaryOp.getOp, 35
org/apache/sysds/hops/rewrite/HopRewriteUtils.isValidOp, 5
org/apache/sysds/hops/AggUnaryOp.getDirection, 41
org/apache/sysds/hops/rewrite/HopRewriteUtils.createDataGenOp, 7
org/apache/sysds/hops/rewrite/HopRewriteUtils.createUnary, 18
org/apache/sysds/hops/rewrite/HopRewriteUtils.isAggUnaryOp, 12
org/apache/sysds/hops/rewrite/HopRewriteUtils.isSizeExpressionOf, 7
org/apache/sysds/hops/rewrite/HopRewriteUtils.isEmpty, 6
org/apache/sysds/hops/LiteralOp.<init>, 23
org/apache/sysds/hops/rewrite/HopRewriteUtils.isAggUnaryOp, 5
org/apache/sysds/hops/rewrite/HopRewriteUtils.isBinary, 12
org/apache/sysds/hops/rewrite/HopRewriteUtils.createValueHop, 6
org/apache/sysds/hops/rewrite/HopRewriteUtils.getBooleanValue, 7
org/apache/sysds/hops/DataGenOp.hasConstantValue, 5
org/apache/sysds/hops/rewrite/HopRewriteUtils.createAggUnaryOp, 13
org/apache/sysds/hops/rewrite/HopRewriteUtils.isUnary, 22
org/apache/sysds/hops/rewrite/HopRewriteUtils.isReorg, 7
org/apache/sysds/hops/LiteralOp.<init>, 12
org/apache/sysds/hops/rewrite/HopRewriteUtils.createParameterizedBuiltinOp, 6
org/apache/sysds/hops/Hop.refreshSizeInformation, 19
org/apache/sysds/hops/rewrite/HopRewriteUtils.createSum, 5
org/apache/sysds/hops/rewrite/HopRewriteUtils.isLiteralOfValue, 26
org/apache/sysds/hops/rewrite/HopRewriteUtils.isSingleBlock, 6
org/apache/sysds/hops/Hop.getBlocksize, 63
org/apache/sysds/hops/Hop.setBlocksize, 23
org/apache/sysds/hops/rewrite/HopRewriteUtils.isValidOp, 6
org/apache/sysds/hops/rewrite/HopRewriteUtils.isOuterProductLikeMM, 10
org/apache/sysds/hops/rewrite/HopRewriteUtils.isTransposeOfItself, 6
org/apache/sysds/hops/AggBinaryOp.checkMapMultChain, 5
org/apache/sysds/hops/rewrite/HopRewriteUtils.getDoubleValue, 19
org/apache/sysds/hops/BinaryOp.isOuter, 9
org/apache/sysds/hops/rewrite/HopRewriteUtils.removeChildReference, 10
org/apache/sysds/hops/Hop.rowsKnown, 15
org/apache/sysds/hops/Hop.colsKnown, 12
org/apache/sysds/hops/LiteralOp.<init>, 21
org/apache/sysds/hops/rewrite/HopRewriteUtils.isNary, 13
org/apache/sysds/hops/Hop.getValueType, 45
org/apache/sysds/hops/NaryOp.getOp, 8
org/apache/sysds/common/Types$OpOp2.valueOf, 5
org/apache/sysds/common/Types$OpOpN.valueOf, 5
org/apache/sysds/runtime/controlprogram/ParForProgramBlock$PDataPartitionFormat.values, 9
org/apache/sysds/conf/ConfigurationManager.isCodegenEnabled, 11
org/apache/sysds/parser/StatementBlock.getStatement, 24
org/apache/sysds/parser/IfStatementBlock.getPredicateHops, 26
org/apache/sysds/runtime/controlprogram/IfProgramBlock.getPredicate, 9
org/apache/sysds/runtime/controlprogram/IfProgramBlock.setPredicate, 5
org/apache/sysds/parser/IfStatement.getIfBody, 49
org/apache/sysds/runtime/controlprogram/IfProgramBlock.getChildBlocksIfBody, 24
org/apache/sysds/runtime/controlprogram/IfProgramBlock.getChildBlocksElseBody, 24
org/apache/sysds/parser/IfStatement.getElseBody, 49
org/apache/sysds/parser/WhileStatementBlock.getPredicateHops, 25
org/apache/sysds/runtime/controlprogram/WhileProgramBlock.getPredicate, 9
org/apache/sysds/runtime/controlprogram/WhileProgramBlock.setPredicate, 5
org/apache/sysds/parser/WhileStatement.getBody, 50
org/apache/sysds/runtime/controlprogram/WhileProgramBlock.getChildBlocks, 21
org/apache/sysds/parser/ForStatementBlock.getFromHops, 29
org/apache/sysds/runtime/controlprogram/ForProgramBlock.getFromInstructions, 10
org/apache/sysds/runtime/controlprogram/ForProgramBlock.setFromInstructions, 9
org/apache/sysds/parser/ForStatementBlock.getToHops, 29
org/apache/sysds/runtime/controlprogram/ForProgramBlock.getToInstructions, 10
org/apache/sysds/runtime/controlprogram/ForProgramBlock.setToInstructions, 9
org/apache/sysds/parser/ForStatementBlock.getIncrementHops, 29
org/apache/sysds/runtime/controlprogram/ForProgramBlock.getIncrementInstructions, 10
org/apache/sysds/runtime/controlprogram/ForProgramBlock.setIncrementInstructions, 9
org/apache/sysds/parser/ForStatement.getBody, 52
org/apache/sysds/runtime/controlprogram/ForProgramBlock.getChildBlocks, 22
org/apache/sysds/runtime/controlprogram/BasicProgramBlock.setInstructions, 15
org/apache/sysds/runtime/controlprogram/LocalVariableMap.<init>, 24
org/apache/sysds/runtime/controlprogram/LocalVariableMap.keySet, 30
org/apache/sysds/runtime/controlprogram/LocalVariableMap.get, 71
org/apache/sysds/hops/recompile/Recompiler.rReplaceLiterals, 5
org/apache/sysds/parser/DMLProgram.getStatementBlocks, 25
org/apache/sysds/parser/VariableSet.containsVariable, 30
org/apache/sysds/runtime/controlprogram/BasicProgramBlock.getInstructions, 18
org/apache/sysds/hops/recompile/Recompiler.recompileHopsDag, 8
org/apache/sysds/hops/Hop.getMemEstimate, 14
org/apache/sysds/hops/Hop.setForcedExecType, 7
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getMatrixObject, 77
org/apache/sysds/runtime/controlprogram/federated/FederationMap.isAligned, 6
org/apache/sysds/runtime/controlprogram/federated/FederationMap.getID, 60
org/apache/sysds/runtime/controlprogram/federated/FederationUtils.callInstruction, 29
org/apache/sysds/runtime/controlprogram/federated/FederatedRequest.getID, 59
org/apache/sysds/runtime/controlprogram/federated/FederatedRequest.<init>, 28
org/apache/sysds/runtime/controlprogram/federated/FederationMap.cleanup, 18
org/apache/sysds/runtime/controlprogram/federated/FederationMap.execute, 14
org/apache/sysds/runtime/controlprogram/federated/FederationMap.getFederatedRanges, 32
org/apache/sysds/runtime/controlprogram/federated/FederationMap.broadcastSliced, 25
org/apache/sysds/runtime/controlprogram/federated/FederationUtils.getNextFedDataID, 46
org/apache/sysds/runtime/controlprogram/federated/FederationMap.mapParallel, 10
org/apache/sysds/runtime/instructions/cp/CM_COV_Object.getRequiredResult, 8
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.setScalarOutput, 27
org/apache/sysds/runtime/controlprogram/federated/FederatedRange.getSize, 8
org/apache/sysds/runtime/controlprogram/federated/FederatedResponse.getData, 41
org/apache/sysds/runtime/controlprogram/federated/FederatedRange.getBeginDimsInt, 9
org/apache/sysds/runtime/controlprogram/federated/FederatedRange.getEndDimsInt, 9
org/apache/sysds/runtime/matrix/data/MatrixBlock.slice, 23
org/apache/sysds/runtime/controlprogram/federated/FederatedResponse.throwExceptionFromResponse, 16
org/apache/sysds/runtime/util/DataConverter.convertToDoubleMatrix, 7
org/apache/sysds/api/DMLException.<init>, 19
org/apache/sysds/runtime/util/DataConverter.convertToStringFrame, 5
org/apache/sysds/hops/estim/SparsityEstimator.<init>, 8
org/apache/sysds/runtime/matrix/data/LibMatrixDatagen.setupSeedsForRand, 6
org/apache/sysds/lops/Lop.getLevel, 5
org/apache/sysds/lops/Lop.getExecType, 5
org/apache/sysds/lops/Lop.printErrorLocation, 15
org/apache/sysds/lops/Lop.isDataExecLocation, 10
org/apache/sysds/lops/Data.isLiteral, 9
org/apache/sysds/lops/Lop.getOutputs, 17
org/apache/sysds/lops/Lop.getDataType, 21
org/apache/sysds/lops/Lop.getValueType, 6
org/apache/sysds/lops/OutputParameters.getLabel, 26
org/apache/sysds/lops/Lop.prepScalarLabel, 6
org/apache/sysds/runtime/data/DenseBlockDRB.<init>, 13
org/apache/sysds/common/Warnings.warnFullFP64Conversion, 10
org/apache/sysds/runtime/data/DenseBlock.valuesAt, 59
org/apache/sysds/runtime/util/DataConverter.convertToArray2DRowRealMatrix, 6
org/apache/sysds/runtime/util/DataConverter.convertToMatrixBlock, 9
org/apache/sysds/runtime/util/DataConverter.convertToMatrixBlock, 8
org/apache/sysds/runtime/matrix/data/MatrixBlock.copy, 18
org/apache/sysds/parser/Expression.<init>, 9
org/apache/sysds/parser/Expression.variablesRead, 16
org/apache/sysds/parser/VariableSet.addVariables, 38
org/apache/sysds/parser/IntIdentifier.<init>, 12
org/apache/sysds/parser/Expression.validateExpression, 16
org/apache/sysds/parser/Expression.getOutput, 54
org/apache/sysds/parser/Identifier.getDataType, 42
org/apache/sysds/parser/Identifier.getValueType, 19
org/apache/sysds/parser/dml/DmlParser$StatementContext.<init>, 11
org/apache/sysds/hops/AggBinaryOp$SparkAggType.valueOf, 5
org/apache/sysds/runtime/instructions/InstructionUtils.getMatMultOperator, 19
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.getBroadcastForVariable, 12
org/apache/sysds/runtime/instructions/spark/functions/FilterNonEmptyBlocksFunction.<init>, 6
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.addLineageBroadcast, 13
org/apache/sysds/hops/OptimizerUtils.estimatePartitionedSizeExactSparsity, 9
org/apache/sysds/runtime/controlprogram/parfor/stat/InfrastructureAnalyzer.getHDFSBlockSize, 23
org/apache/sysds/runtime/meta/DataCharacteristics.getNumColBlocks, 15
org/apache/sysds/runtime/meta/DataCharacteristics.getNumRowBlocks, 15
org/apache/sysds/common/Types$OpOp2.values, 9
org/apache/sysds/common/Types$OpOp1.values, 7
org/apache/sysds/common/Types$AggOp.values, 11
org/apache/sysds/runtime/io/IOUtilFunctions.closeSilently, 22
org/apache/sysds/runtime/io/IOUtilFunctions.getFileSystem, 30
org/apache/sysds/conf/ConfigurationManager.getBlocksize, 44
org/apache/sysds/runtime/matrix/data/FrameBlock.getSchema, 29
org/apache/sysds/runtime/matrix/data/FrameBlock.slice, 10
org/apache/sysds/runtime/matrix/data/FrameBlock.getColumnMetadata, 9
org/apache/sysds/runtime/matrix/data/FrameBlock.setColumnMetadata, 6
org/apache/sysds/runtime/data/BasicTensorBlock.getDim, 6
org/apache/sysds/runtime/instructions/cp/ComputationCPInstruction.<init>, 10
org/apache/sysds/runtime/controlprogram/LocalVariableMap.<init>, 5
org/apache/sysds/conf/DMLConfig.<init>, 7
org/apache/sysds/runtime/instructions/cp/BooleanObject.<init>, 20
org/apache/sysds/runtime/instructions/cp/StringObject.<init>, 19
org/apache/sysds/runtime/meta/MetaDataFormat.<init>, 41
org/apache/sysds/hops/OptimizerUtils.getUniqueTempFileName, 17
org/apache/sysds/runtime/controlprogram/caching/MatrixObject.<init>, 11
org/apache/sysds/runtime/controlprogram/LocalVariableMap.removeAll, 6
org/apache/sysds/conf/ConfigurationManager.setLocalConfig, 5
org/apache/sysds/conf/ConfigurationManager.getCompilerConfig, 7
org/apache/sysds/conf/CompilerConfig.set, 6
org/apache/sysds/runtime/controlprogram/Program.getProgramBlocks, 11
org/apache/sysds/hops/ipa/FunctionCallGraph.<init>, 5
org/apache/sysds/hops/ipa/FunctionCallGraph.isRecursiveFunction, 5
org/apache/sysds/runtime/controlprogram/Program.getFunctionProgramBlock, 9
org/apache/sysds/runtime/functionobjects/Builtin$BuiltinCode.values, 5
org/apache/sysds/runtime/util/DependencyThreadPool.createDependencyTasks, 6
org/apache/sysds/common/Types$OpOp1.toString, 8
org/apache/sysds/runtime/io/hdf5/H5RuntimeException.<init>, 16
org/apache/sysds/runtime/io/hdf5/H5RootObject.getSuperblock, 11
org/apache/sysds/runtime/io/hdf5/H5BufferBuilder.writeByte, 11
org/apache/sysds/runtime/io/hdf5/H5BufferBuilder.writeShort, 8
org/apache/sysds/runtime/matrix/operators/AggregateOperator.<init>, 14
org/apache/sysds/runtime/functionobjects/Multiply.getMultiplyFnObject, 19
org/apache/sysds/runtime/matrix/operators/AggregateBinaryOperator.<init>, 6
org/apache/sysds/runtime/instructions/spark/data/PartitionedBlock.getBlock, 5
org/apache/sysds/runtime/matrix/data/OperationsOnMatrixValues.matMult, 9
org/apache/sysds/runtime/lineage/LineageItem.<init>, 6
org/apache/sysds/runtime/compress/estim/CompressedSizeInfo.getInfo, 8
org/apache/sysds/runtime/matrix/data/MatrixBlock.isEmpty, 97
org/apache/sysds/runtime/controlprogram/parfor/stat/Timing.<init>, 49
org/apache/sysds/runtime/controlprogram/parfor/stat/Timing.start, 9
org/apache/sysds/runtime/controlprogram/parfor/stat/Timing.stop, 55
org/apache/sysds/runtime/compress/estim/CompressedSizeInfoColGroup.getColumns, 22
org/apache/sysds/runtime/compress/utils/IntArrayList.appendValue, 8
org/apache/sysds/runtime/compress/colgroup/ColGroupEmpty.<init>, 21
org/apache/sysds/runtime/compress/utils/IntArrayList.size, 23
org/apache/sysds/runtime/compress/estim/CompressedSizeInfoColGroup.getNumVals, 19
org/apache/sysds/runtime/compress/estim/CompressedSizeInfoColGroup.getTupleSparsity, 5
org/apache/sysds/runtime/compress/bitmap/ABitmap.getOffsetList, 7
org/apache/sysds/runtime/compress/colgroup/ColGroupConst.create, 13
org/apache/sysds/runtime/compress/DMLCompressionException.<init>, 65
org/apache/sysds/runtime/compress/colgroup/mapping/MapToFactory.create, 18
org/apache/sysds/runtime/matrix/data/LibMatrixReorg.transposeInPlace, 8
org/apache/sysds/runtime/compress/colgroup/mapping/AMapToData.fill, 5
org/apache/sysds/runtime/compress/colgroup/ColGroupDDC.<init>, 6
org/apache/sysds/runtime/compress/readers/ReaderColumnSelection.nextRow, 5
org/apache/sysds/runtime/compress/colgroup/mapping/AMapToData.set, 17
org/apache/sysds/runtime/compress/bitmap/ABitmap.getNumValues, 7
org/apache/sysds/runtime/compress/colgroup/dictionary/DictionaryFactory.create, 5
org/apache/sysds/runtime/compress/colgroup/ColGroupSDCZeros.create, 9
org/apache/sysds/runtime/compress/colgroup/mapping/AMapToData.getUnique, 5
org/apache/sysds/runtime/compress/colgroup/ColGroupSDC.create, 10
org/apache/sysds/runtime/compress/utils/IntArrayList.get, 8
org/apache/sysds/runtime/compress/utils/IntArrayList.extractValues, 6
org/apache/sysds/runtime/controlprogram/parfor/opt/OptNode.getNodeType, 28
org/apache/sysds/runtime/controlprogram/parfor/opt/OptNode.getID, 57
org/apache/sysds/hops/OptimizerUtils.isSparkExecutionMode, 33
org/apache/sysds/hops/Hop.getExecType, 6
org/apache/sysds/hops/Hop.getOpString, 12
org/apache/sysds/runtime/controlprogram/parfor/opt/OptNode.getExecType, 22
org/apache/sysds/runtime/controlprogram/parfor/opt/OptimizerRuleBased.toMB, 6
org/apache/sysds/runtime/controlprogram/parfor/util/IDSequence.getNextID, 46
org/apache/sysds/runtime/controlprogram/parfor/util/IDSequence.<init>, 25
org/apache/sysds/runtime/controlprogram/FunctionProgramBlock.getChildBlocks, 21
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.setLineage, 5
org/apache/sysds/runtime/lineage/LineageItem.isPlaceholder, 6
org/apache/sysds/runtime/lineage/LineageItem.hashCode, 6
org/apache/sysds/runtime/lineage/LineageItem.isVisited, 21
org/apache/sysds/runtime/lineage/LineageItem.setVisited, 17
org/apache/sysds/runtime/lineage/LineageItem.getInputs, 47
org/apache/sysds/runtime/instructions/cp/CM_COV_Object.<init>, 17
org/apache/sysds/runtime/functionobjects/CM.getCMFnObject, 10
org/apache/sysds/runtime/matrix/data/WeightedCell.setWeight, 8
org/apache/sysds/runtime/matrix/operators/AggregateOperator.existsCorrection, 23
org/apache/sysds/runtime/instructions/cp/KahanObject.<init>, 39
org/apache/sysds/runtime/functionobjects/KahanPlus.getKahanPlusFnObject, 43
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.getFrameBinaryBlockRDDHandleForVariable, 10
org/apache/sysds/runtime/controlprogram/caching/FrameObject.setSchema, 16
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.releaseMatrixInput, 35
org/apache/sysds/hops/codegen/cplan/CNodeBinary$BinType.valueOf, 6
org/apache/sysds/common/Types$OpOp2.toString, 8
org/apache/sysds/runtime/instructions/InstructionUtils.concatOperands, 51
org/apache/sysds/runtime/instructions/cp/BinaryCPInstruction.<init>, 10
org/apache/sysds/runtime/instructions/InstructionUtils.getInstructionParts, 6
org/apache/sysds/runtime/matrix/data/MatrixBlock.scalarOperations, 11
org/apache/sysds/runtime/instructions/spark/data/LazyIterableIterator.<init>, 16
org/apache/sysds/runtime/matrix/data/MatrixBlock.<init>, 22
org/apache/sysds/runtime/controlprogram/LocalVariableMap.clone, 6
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.setVariables, 6
org/apache/sysds/runtime/controlprogram/caching/MatrixObject.getUpdateType, 6
org/apache/sysds/runtime/controlprogram/caching/MatrixObject$UpdateType.isInPlace, 8
org/apache/sysds/runtime/controlprogram/caching/MatrixObject.getNnz, 26
org/apache/sysds/runtime/util/ProgramConverter.rcreateDeepCopyProgramBlocks, 6
org/apache/sysds/runtime/controlprogram/ProgramBlock.getProgram, 7
org/apache/sysds/runtime/controlprogram/BasicProgramBlock.<init>, 10
org/apache/sysds/runtime/util/ProgramConverter.createDeepCopyInstructionSet, 9
org/apache/sysds/runtime/controlprogram/ForProgramBlock.<init>, 5
org/apache/sysds/runtime/controlprogram/ParForProgramBlock.getResultVariables, 6
org/apache/sysds/runtime/controlprogram/Program.getFunctionProgramBlocks, 11
org/apache/sysds/runtime/controlprogram/FunctionProgramBlock.getOutputParams, 8
org/apache/sysds/runtime/instructions/cp/FunctionCallCPInstruction.getNamespace, 6
org/apache/sysds/runtime/instructions/cp/FunctionCallCPInstruction.getFunctionName, 9
org/apache/sysds/runtime/instructions/Instruction.toString, 20
org/apache/sysds/parser/FunctionStatement.getInputParams, 14
org/apache/sysds/parser/FunctionStatement.getOutputParams, 20
org/apache/sysds/parser/FunctionStatement.getBody, 48
org/apache/sysds/parser/IfStatement.getConditionalPredicate, 5
org/apache/sysds/parser/WhileStatement.getConditionalPredicate, 6
org/apache/sysds/parser/ForStatement.getIterablePredicate, 7
org/apache/sysds/hops/recompile/Recompiler.requiresRecompilation, 6
org/apache/sysds/api/DMLScript.getUUID, 14
org/apache/sysds/runtime/instructions/cp/Data.getValueType, 7
org/apache/sysds/runtime/meta/MetaDataFormat.getFileFormat, 36
org/apache/sysds/common/Types$FileFormat.toString, 38
org/apache/sysds/runtime/instructions/cp/ListObject.slice, 12
org/apache/sysds/runtime/util/ProgramConverter$HierarchyAwareStringTokenizer.<init>, 9
org/apache/sysds/runtime/util/ProgramConverter$HierarchyAwareStringTokenizer.nextToken, 9
org/apache/sysds/runtime/util/ProgramConverter.rParseProgramBlocks, 7
org/apache/sysds/runtime/controlprogram/Program.<init>, 5
org/apache/sysds/runtime/util/ProgramConverter.parseInstructions, 5
org/apache/sysds/runtime/instructions/CPInstructionParser.parseSingleInstruction, 5
org/apache/sysds/parser/DataIdentifier.<init>, 31
org/apache/sysds/common/Types$DataType.valueOf, 9
org/apache/sysds/common/Types$ValueType.valueOf, 5
org/apache/sysds/runtime/controlprogram/caching/MatrixObject.<init>, 16
org/apache/sysds/common/Types$FileFormat.safeValueOf, 19
org/apache/sysds/runtime/controlprogram/caching/MatrixObject.setUpdateType, 6
org/apache/sysds/runtime/controlprogram/caching/FrameObject.<init>, 6
org/apache/sysds/runtime/instructions/cp/ListObject.<init>, 5
org/apache/sysds/parser/Expression.rewriteExpression, 12
org/apache/sysds/parser/BinaryExpression.setLeft, 5
org/apache/sysds/parser/BinaryExpression.setRight, 5
org/apache/sysds/parser/BinaryExpression.getLeft, 7
org/apache/sysds/parser/BinaryExpression.getRight, 7
org/apache/sysds/parser/BinaryExpression.getOpCode, 6
org/apache/sysds/parser/Identifier.getDim2, 23
org/apache/sysds/parser/Identifier.getDim1, 24
org/apache/sysds/parser/Expression.variablesUpdated, 7
org/apache/sysds/runtime/controlprogram/parfor/opt/OptNode.<init>, 5
org/apache/sysds/runtime/controlprogram/parfor/opt/OptNode.setExecType, 10
org/apache/sysds/runtime/controlprogram/parfor/opt/OptNode.addParam, 14
org/apache/sysds/runtime/controlprogram/parfor/opt/OptNode.setK, 10
org/apache/sysds/runtime/instructions/Instruction.getType, 5
org/apache/sysds/parser/StatementBlock.getBeginLine, 8
org/apache/sysds/parser/StatementBlock.getEndLine, 9
org/apache/sysds/runtime/controlprogram/parfor/opt/OptNode.isCPOnly, 7
org/apache/sysds/hops/FunctionOp.getFunctionName, 14
org/apache/sysds/hops/FunctionOp.getFunctionNamespace, 7
org/apache/sysds/hops/FunctionOp.getFunctionKey, 15
org/apache/sysds/parser/DMLProgram.getFunctionStatementBlock, 22
org/apache/sysds/runtime/instructions/spark/utils/SparkUtils.fromIndexedMatrixBlock, 9
org/apache/sysds/runtime/matrix/data/MatrixBlock.evalSparseFormatInMemory, 51
org/apache/sysds/runtime/matrix/data/LibMatrixReorg.transpose, 6
org/apache/sysds/runtime/matrix/data/MatrixBlock.getSparsity, 25
org/apache/sysds/parser/VariableSet.getVariableNames, 30
org/apache/sysds/hops/rewrite/HopRewriteUtils.isDataGenOp, 8
org/apache/sysds/hops/rewrite/HopRewriteUtils.isData, 33
org/apache/sysds/parser/VariableSet.<init>, 9
org/apache/sysds/runtime/util/UtilFunctions.nCopies, 35
org/apache/sysds/runtime/matrix/data/FrameBlock.createColNames, 5
org/apache/sysds/runtime/matrix/data/FrameBlock.<init>, 9
org/apache/sysds/runtime/matrix/data/FrameBlock.ensureAllocatedColumns, 24
org/apache/sysds/hops/codegen/cplan/CodeTemplate.<init>, 6
org/apache/sysds/runtime/matrix/data/LibMatrixNative.isSinglePrecision, 6
org/apache/sysds/conf/ConfigurationManager.setGlobalConfig, 5
org/apache/sysds/api/mlcontext/Script.getSymbolTable, 5
org/apache/sysds/api/mlcontext/Script.getOutputVariables, 6
org/apache/sysds/api/mlcontext/MLContextException.<init>, 32
org/apache/sysds/api/DMLScript.setGlobalExecMode, 6
org/apache/sysds/runtime/controlprogram/caching/CacheableData.getMetaData, 8
org/apache/sysds/runtime/meta/DataCharacteristics.set, 25
org/apache/sysds/common/Types$DataType.isFrame, 12
org/apache/sysds/utils/Statistics.decrementNoOfExecutedSPInst, 5
org/apache/sysds/runtime/controlprogram/caching/FrameObject.getSchema, 14
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.getRDDHandleForMatrixObject, 10
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.getRDDHandleForFrameObject, 9
org/apache/sysds/runtime/matrix/data/MatrixBlock.isAllocated, 20
org/apache/sysds/runtime/util/SortUtils.sortByValue, 5
org/apache/sysds/runtime/functionobjects/IndexFunction.<init>, 9
org/apache/sysds/runtime/matrix/data/MatrixIndexes.setIndexes, 25
org/apache/sysds/runtime/matrix/data/MatrixValue$CellIndex.set, 15
org/apache/sysds/runtime/matrix/data/FrameBlock.<init>, 31
org/apache/sysds/runtime/instructions/fed/BinaryFEDInstruction.<init>, 6
org/apache/sysds/runtime/instructions/fed/FEDInstruction$FederatedOutput.valueOf, 7
org/apache/sysds/runtime/controlprogram/federated/FederationMap.isAligned, 13
org/apache/sysds/runtime/controlprogram/federated/FederationUtils.callInstruction, 6
org/apache/sysds/runtime/instructions/fed/FEDInstruction$FederatedOutput.isForcedFederated, 6
org/apache/sysds/runtime/controlprogram/federated/FederationMap.execute, 33
org/apache/sysds/runtime/controlprogram/federated/FederationMap.broadcast, 16
org/apache/sysds/runtime/instructions/fed/FEDInstruction$FederatedOutput.isForcedLocal, 5
org/apache/sysds/runtime/controlprogram/federated/FederationMap.execute, 18
org/apache/sysds/runtime/controlprogram/caching/MatrixObject.getBlocksize, 23
org/apache/sysds/runtime/controlprogram/federated/FederationUtils.aggAdd, 7
org/apache/sysds/runtime/controlprogram/federated/FederationUtils.bind, 6
org/apache/sysds/runtime/compress/readers/ReaderColumnSelection.<init>, 6
org/apache/sysds/runtime/data/DenseBlock.numBlocks, 22
org/apache/sysds/runtime/lineage/LineageRewriteReuse.toMatrixObject, 14
org/apache/sysds/hops/rewrite/HopRewriteUtils.createTransientRead, 15
org/apache/sysds/runtime/lineage/LineageRewriteReuse.genInst, 13
org/apache/sysds/runtime/lineage/LineageRewriteReuse.addRmvarInstructions, 13
org/apache/sysds/runtime/lineage/LineageCacheStatistics.incrementPRewrites, 13
org/apache/sysds/hops/rewrite/HopRewriteUtils.createTransientRead, 12
org/apache/sysds/hops/rewrite/HopRewriteUtils.createIndexingOp, 16
org/apache/sysds/runtime/lineage/LineageCache.probe, 21
org/apache/sysds/runtime/lineage/LineageCache.getMatrix, 13
org/apache/sysds/runtime/lineage/LineageCache.getEntry, 14
org/apache/sysds/runtime/lineage/LineageItem.getType, 13
org/apache/sysds/runtime/lineage/LineageItem.getData, 16
org/apache/sysds/runtime/matrix/data/MatrixBlock.getDataCharacteristics, 15
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.containsVariable, 11
org/apache/sysds/runtime/instructions/cp/VariableCPInstruction.prepareRemoveInstruction, 10
org/apache/sysds/runtime/instructions/InstructionUtils.concatOperandParts, 7
org/apache/sysds/runtime/lineage/LineageItem.<init>, 9
org/apache/sysds/runtime/controlprogram/context/ExecutionContextFactory.createContext, 8
org/apache/sysds/runtime/util/LocalFileUtils.getUniqueWorkingDir, 5
org/apache/sysds/runtime/util/LocalFileUtils.cleanupWorkingDirectory, 5
org/apache/sysds/runtime/util/FastStringTokenizer.<init>, 17
org/apache/sysds/runtime/util/FastStringTokenizer.reset, 16
org/apache/sysds/runtime/util/FastStringTokenizer.nextLong, 13
org/apache/sysds/runtime/util/FastStringTokenizer.nextToken, 8
org/apache/sysds/runtime/controlprogram/parfor/util/Cell.getRow, 5
