Method, Number of uses
org/apache/sysds/parser/DMLTranslator.constructHops, 6
org/apache/sysds/conf/ConfigurationManager.getDMLConfig, 43
org/apache/sysds/runtime/instructions/cp/ListObject.<init>, 11
org/apache/sysds/parser/FunctionDictionary.containsFunction, 6
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getVariable, 45
org/apache/sysds/runtime/matrix/data/MatrixBlock.isEmptyBlock, 129
org/apache/sysds/runtime/instructions/cp/DoubleObject.<init>, 47
org/apache/sysds/runtime/matrix/data/MatrixBlock.getNumRows, 360
org/apache/sysds/runtime/matrix/data/MatrixBlock.getNumColumns, 365
org/apache/sysds/runtime/matrix/data/MatrixBlock.<init>, 181
org/apache/sysds/runtime/matrix/data/MatrixBlock.allocateDenseBlock, 78
org/apache/sysds/runtime/compress/CompressedMatrixBlock.getUncompressed, 27
org/apache/sysds/runtime/matrix/data/MatrixBlock.isInSparseFormat, 228
org/apache/sysds/runtime/matrix/data/MatrixBlock.getDenseBlock, 170
org/apache/sysds/runtime/matrix/data/MatrixBlock.getSparseBlock, 166
org/apache/sysds/runtime/matrix/data/MatrixBlock.getNonZeros, 98
org/apache/sysds/runtime/data/DenseBlock.get, 28
org/apache/sysds/runtime/util/CommonThreadPool.get, 84
org/apache/sysds/runtime/DMLRuntimeException.<init>, 149
org/apache/sysds/runtime/matrix/data/MatrixBlock.examSparsity, 121
org/apache/sysds/runtime/matrix/data/MatrixBlock.reset, 54
org/apache/sysds/runtime/matrix/data/MatrixBlock.allocateBlock, 56
org/apache/sysds/runtime/matrix/data/MatrixBlock.recomputeNonZeros, 94
org/apache/sysds/runtime/matrix/data/MatrixBlock.setNonZeros, 77
org/apache/sysds/runtime/util/UtilFunctions.roundToNext, 7
org/apache/sysds/runtime/data/DenseBlock.values, 175
org/apache/sysds/runtime/data/DenseBlock.pos, 158
org/apache/sysds/runtime/data/DenseBlock.set, 50
org/apache/sysds/runtime/data/SparseBlock.isEmpty, 229
org/apache/sysds/runtime/data/SparseBlock.pos, 219
org/apache/sysds/runtime/data/SparseBlock.size, 225
org/apache/sysds/runtime/data/SparseBlock.indexes, 197
org/apache/sysds/runtime/data/SparseBlock.values, 216
org/apache/sysds/runtime/data/SparseBlock.posFIndexGTE, 17
org/apache/sysds/runtime/data/SparseBlock.append, 50
org/apache/sysds/runtime/matrix/data/MatrixIndexes.getRowIndex, 120
org/apache/sysds/runtime/util/UtilFunctions.computeCellIndex, 12
org/apache/sysds/runtime/matrix/data/MatrixIndexes.getColumnIndex, 97
org/apache/sysds/runtime/util/UtilFunctions.computeBlockIndex, 36
org/apache/sysds/runtime/matrix/data/MatrixIndexes.<init>, 76
org/apache/sysds/runtime/util/UtilFunctions.computeBlockSize, 35
org/apache/sysds/runtime/matrix/data/MatrixBlock.appendToSparse, 5
org/apache/sysds/runtime/matrix/data/MatrixBlock.quickGetValue, 145
org/apache/sysds/runtime/matrix/data/MatrixBlock.appendValue, 52
org/apache/sysds/runtime/matrix/data/MatrixBlock.<init>, 172
org/apache/sysds/runtime/matrix/data/MatrixBlock.aggregateUnaryOperations, 10
org/apache/sysds/hops/Hop.<init>, 8
org/apache/sysds/hops/DataOp.<init>, 6
org/apache/sysds/hops/Hop.<init>, 14
org/apache/sysds/hops/DataOp.setFileFormat, 7
org/apache/sysds/hops/LiteralOp.getLongValue, 13
org/apache/sysds/hops/DataOp.<init>, 5
org/apache/sysds/hops/DataOp.getFileFormat, 9
org/apache/sysds/lops/Lop.getOutputParameters, 34
org/apache/sysds/lops/LopsException.<init>, 53
org/apache/sysds/conf/ConfigurationManager.isDynamicRecompilation, 17
org/apache/sysds/hops/Hop.getInput, 18
org/apache/sysds/conf/ConfigurationManager.getCompilerConfigFlag, 23
org/apache/sysds/runtime/transform/encode/ColumnEncoder.<init>, 14
org/apache/sysds/runtime/controlprogram/caching/CacheBlock.getNumRows, 22
org/apache/sysds/runtime/util/UtilFunctions.getEndIndex, 13
org/apache/sysds/runtime/data/SparseBlock.get, 35
org/apache/sysds/runtime/data/SparseRowVector.values, 5
org/apache/sysds/runtime/data/SparseRowVector.indexes, 5
org/apache/sysds/runtime/data/SparseBlockCSR.rowPointers, 7
org/apache/sysds/runtime/data/SparseBlockCSR.indexes, 7
org/apache/sysds/runtime/data/SparseBlockCSR.values, 8
org/apache/sysds/runtime/transform/encode/ColumnEncoder.mergeAt, 7
org/apache/sysds/runtime/util/FastBufferedDataInputStream.<init>, 7
org/apache/sysds/runtime/util/FastBufferedDataOutputStream.<init>, 5
org/apache/sysds/runtime/util/FastBufferedDataOutputStream.flush, 5
org/apache/sysds/runtime/matrix/data/MatrixBlock.write, 8
org/apache/sysds/runtime/matrix/data/MatrixBlock.readFields, 8
org/apache/sysds/runtime/matrix/data/MatrixIndexes.<init>, 31
org/apache/sysds/runtime/matrix/data/MatrixIndexes.readFields, 5
org/apache/sysds/runtime/matrix/data/MatrixIndexes.write, 5
org/apache/sysds/runtime/matrix/data/MatrixIndexes.compareTo, 5
org/apache/sysds/runtime/instructions/spark/ComputationSPInstruction.<init>, 5
org/apache/sysds/runtime/instructions/InstructionUtils.checkNumFields, 14
org/apache/sysds/runtime/instructions/cp/ComputationCPInstruction.getLineageItem, 15
org/apache/sysds/runtime/lineage/LineageCacheConfig.isReusable, 17
org/apache/sysds/runtime/matrix/data/MatrixBlock.getInMemorySize, 14
org/apache/sysds/runtime/instructions/cp/ScalarObject.getSize, 5
org/apache/sysds/runtime/lineage/LineageItem.<init>, 50
org/apache/sysds/parser/DataIdentifier.getName, 94
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getLineage, 37
org/apache/sysds/runtime/lineage/Lineage.get, 12
org/apache/sysds/runtime/lineage/LineageItem.resetVisitStatusNR, 16
org/apache/sysds/runtime/lineage/LineageItem.getOpcode, 27
org/apache/sysds/runtime/controlprogram/parfor/stat/InfrastructureAnalyzer.getLocalMaxMemory, 15
org/apache/sysds/runtime/lineage/Lineage.<init>, 5
org/apache/sysds/runtime/instructions/Instruction.getOpcode, 22
org/apache/sysds/runtime/lineage/LineageCacheConfig$ReuseCacheType.isNone, 24
org/apache/sysds/runtime/controlprogram/ProgramBlock.getStatementBlock, 14
org/apache/sysds/parser/StatementBlock.getInputstoSB, 5
org/apache/sysds/runtime/lineage/Lineage.getOrCreate, 8
org/apache/sysds/runtime/lineage/Lineage.set, 15
org/apache/sysds/runtime/lineage/Lineage.get, 6
org/apache/sysds/utils/Explain.explain, 6
org/apache/sysds/runtime/instructions/spark/BinarySPInstruction.<init>, 22
org/apache/sysds/conf/ConfigurationManager.getCachedJobConf, 61
org/apache/sysds/runtime/util/HDFSTool.deleteFileIfExistOnHDFS, 30
org/apache/sysds/runtime/matrix/data/FrameBlock.getNumRows, 80
org/apache/sysds/runtime/matrix/data/FrameBlock.getNumColumns, 91
org/apache/sysds/runtime/io/IOUtilFunctions.getFileSystem, 56
org/apache/sysds/runtime/io/IOUtilFunctions.deleteCrcFilesFromLocalFileSystem, 33
org/apache/sysds/runtime/io/FileFormatPropertiesCSV.<init>, 8
org/apache/sysds/runtime/io/FileFormatPropertiesCSV.getDelim, 19
org/apache/sysds/runtime/io/FileFormatPropertiesCSV.hasHeader, 16
org/apache/sysds/runtime/matrix/data/FrameBlock.getColumnNames, 26
org/apache/sysds/runtime/matrix/data/FrameBlock.getColumnMetadata, 16
org/apache/sysds/runtime/matrix/data/FrameBlock$ColumnMetadata.getMvValue, 11
org/apache/sysds/runtime/matrix/data/FrameBlock$ColumnMetadata.getNumDistinct, 13
org/apache/sysds/runtime/io/IOUtilFunctions.closeSilently, 60
org/apache/sysds/runtime/controlprogram/federated/FederatedUDF.<init>, 31
org/apache/sysds/runtime/controlprogram/federated/FederatedResponse.<init>, 12
org/apache/sysds/runtime/matrix/data/FrameBlock$DoubleArray.<init>, 6
org/apache/sysds/runtime/matrix/data/FrameBlock$Array.<init>, 6
org/apache/sysds/parser/dml/DmlParser$ExpressionContext.<init>, 19
org/apache/sysds/utils/GPUStatistics.incrementNoOfExecutedGPUInst, 27
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.setMetaData, 13
org/apache/sysds/runtime/matrix/operators/ScalarOperator.setConstant, 6
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getGPUContext, 70
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.releaseMatrixInputForGPUInstruction, 28
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.releaseMatrixOutputForGPUInstruction, 27
org/apache/sysds/runtime/data/SparseBlock.allocate, 42
org/apache/sysds/runtime/data/SparseBlock.get, 11
org/apache/sysds/runtime/matrix/operators/CMOperator$AggregateOperationTypes.values, 5
org/apache/sysds/hops/HopsException.<init>, 15
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.getBroadcastMemoryBudget, 13
org/apache/sysds/hops/OptimizerUtils.getLocalMemBudget, 44
org/apache/sysds/lops/WeightedSquaredLoss$WeightsType.hasFourInputs, 5
org/apache/sysds/lops/WeightedDivMM$WDivMMType.hasFourInputs, 8
org/apache/sysds/lops/WeightedDivMM$WDivMMType.hasScalar, 7
org/apache/sysds/runtime/matrix/data/WeightedCell.<init>, 5
org/apache/sysds/common/Types$FileFormat.values, 8
org/apache/sysds/common/Types$DataType.values, 13
org/apache/sysds/runtime/instructions/InstructionParser.parseSingleInstruction, 11
org/apache/sysds/runtime/instructions/InstructionUtils.getExecType, 8
org/apache/sysds/runtime/DMLRuntimeException.<init>, 96
org/apache/sysds/common/Types$Direction.values, 6
